Cluster_ID,Size,Centroid_X,Centroid_Y,Hull_Area
65,47,640618.0316871995,2493479.9771634825,196138.86578836123
105,38,639660.3648226034,2496581.6855550366,194847.6085286715
44,38,638471.1808042768,2491178.746104345,221805.9494488987
118,33,639104.7079433871,2497777.877875665,140974.86870580606
109,31,640968.0693754649,2496642.5857349546,
19,28,638458.0958769628,2488836.79305563,79130.9583382565
100,25,639177.5445495702,2495539.259435561,
69,23,641803.6737907514,2493207.2712237583,27989.528139003713
76,22,637824.734124721,2493376.2071256484,58423.35699601759
86,21,643979.4635384968,2494159.6879333323,18283.515229874625
134,21,641571.2300751708,2500235.0120912753,15182.142838141648
64,19,638669.2896065442,2493397.487757195,42683.293981097195
11,19,635051.1484517567,2487215.160606876,40206.930682228776
81,19,636758.7849036762,2493631.1815746212,44511.871014384786
128,18,643213.45820018,2498862.940683952,40840.15824128191
43,18,634150.7694167005,2490576.061291355,12685.753685094525
38,17,644183.9224931599,2490336.815102027,1882.962933853179
22,17,640202.9045075078,2489060.027445367,1985.0585235216531
115,17,639873.993701195,2497504.4493432366,8708.92435943634
85,17,638586.8447799026,2493914.805801255,50036.81378474209
60,17,644637.4424806661,2492472.8137116106,
74,15,639756.0725850508,2493441.9161594496,60843.17289216727
26,14,638354.7386120064,2489356.966575745,34069.45129487352
66,14,634862.8711783388,2492986.673006875,8748.332764187722
49,14,640402.3629381404,2491162.57289364,24927.89543087162
4,14,642890.6524063254,2485678.08109203,12320.211586407739
47,13,640015.4452816256,2490911.2734859553,4.001350205306039
10,13,641508.5588628013,2486957.730373321,353.89189427569454
9,13,643185.2262897415,2486989.5316994865,3627.201072894183
63,12,638094.4714622957,2492974.616669883,13153.040138497747
17,12,641012.9913796653,2488371.200004163,7239.3424311158715
122,12,640543.2144002985,2498284.826346841,17369.15204915221
7,12,634801.5050430492,2486322.2582857767,
127,12,640189.0536507497,2498842.122079252,13492.339541411353
119,12,642131.3694553042,2497924.677639684,21738.574417415388
89,11,637952.2118429963,2494024.3151567765,12397.296745375541
112,11,642905.343745582,2497280.878938288,2801.383595332369
123,11,640094.5001786606,2498349.862912898,6447.293867792541
101,11,640562.5078826302,2495678.3579909727,66714.49703777535
77,11,638200.9051510143,2493396.135769009,2053.4020064099095
5,11,634774.5790925676,2485873.8145839656,8744.483927206964
37,10,636007.7052605749,2490189.060297751,20790.334229805198
30,10,644048.0181031078,2489376.214580224,33697.08991574
80,10,643670.8482969401,2493602.03310286,9479.820261853181
83,10,639174.259168165,2493769.3542323764,25165.006640882755
129,10,640826.5811652266,2499018.364910308,77.57111793808872
120,10,639977.8472325722,2497959.1366839306,22730.159869650437
78,9,642585.7097377054,2493438.622608065,47917.311799007446
84,9,640855.1993998789,2493898.907302229,8227.74198488399
125,9,639052.95662059,2498631.810429466,796.670236351577
